1番目,2番目,count
取組,向上,16
情報開示,説明,16
戦略,決定,16
役割,資本,16
創造,資本,16
プレイヤー,企業,16
サイド,運用,16
中長期,企業価値,16
支援,経営,16
建設,知財,16
投資,積極,16
戦略,重要性,16
情報,知的財産,16
適切,開示,16
企業価値,観点,16
公表,研究会,16
ガバナンス,情報開示,16
会社,戦略,16
具体,戦略,16
コーポレートガバナンス・コード,投資家,16
2.0,事業,16
サステナビリティ,規制,16
情報開示,規制,16
投資家,財務,16
役割,提示,16
投資家,整理,16
知財,考え方,16
図表,観点,16
事務局,調査,16
内閣府,知財,16
知財,通り,16
取組,研究開発,16
ガイダンス,実現,16
統合,開示,16
投資家,機能,16
理解,経営,16
DX,無形資産,16
価値,持続,16
エンジニアリング業,投資,16
SX,対応,16
図表,研究開発,16
−3,出典,16
ビジネスモデル,資料,16
先進,投資,16
比較,活用,16
ビジネスモデル,創出,16
出典,分析,16
炭素,領域,16
ルール,情報,16
投資,起点,16
ROIC,投資家,16
将来,提示,16
セル,投資家,16
投資家,質問,16
ポートフォリオ,説明,16
変革,対応,16
市場,資本,16
説得力,資本,16
ビジネスモデル,収益性,16
収益性,提示,16
価値,市場,16
ポートフォリオ,マネジメント,16
三瓶,開示,16
提示,提示,16
帝人,活用,16
図表,理解,16
アウトカム,ガバナンス,16
因果,研究,16
パス,研究,16
パス,各社,16
分科会,知財,16
企業,研究,16
因果,整理,16
キーエンス,投資,16
キッコーマン,活用,16
活用,設定,16
向上,図表,16
コラム,展開,16
戦略的,開示,16
会計,無形資産,16
帰結,投資,16
コラム,見える化,16
取組,教授,16
会計処理,投資,16
批判,投資,16
コラム,価値観,16
IP,ブリヂストン,16
IP,価値,16
ランドスケープ,価値,16
ブリヂストン,取組,16
ビジネス,知財,16
加工,投資,16
コラム,本田技研工業,16
図表,大企業,16
The Startup,事務局,16
コラム,支援,16
The Startup,丸井グループ,16
ALLIANCE,価値,16
戦略,説得力,16
モデル,活用,16
アーム,コラム,16
コラム,充実,16
コラム,シーメンス,16
コラム,信頼,16
モデル,開示,16
定量的,開示,16
アーム,投資,16
投資家,東京海上ホールディングス,16
モザイク,投資,16
コラム,中小,16
情報,投資判断,16
セイコーエプソン,戦略,16
旭化成,旭化成,16
事業部,経営,16
コミュニケーション,ブリヂストン,16
コラム,長期,16
ツリー,情報,16
コラム,先進,16
アジェンダ,コラム,16
コラム,設定,16
コラム,個別,16
三井住友トラスト・ホールディングス,投資家,16
エナジー,活用,16
中核,投資,16
コンサルティング,活用,16
産業,知財,16
市村,投資,16
投資,部長,16
小野塚,投資,16
フェロー,投資,16
佐藤,投資,16
投資,武井,16
投資,竹ケ原,16
投資,立本,16
アドバイザ,投資,16
投資,松原,16
御供,投資,16
投資,特許庁,16
企画,投資,16
9月,投資,16
投資,正林,16
パブリックコメント,投資,16
投資,高野,16
1月,投資,16
投資,改訂版,16
−1,投資,16
三井住友トラスト・ホールディングス,活用,16
戦略,杉光,16
アセットマネジメント,開示,16
ガバナンス,荒木,16
ガバナンス,市村,16
DX,ガバナンス,16
ガバナンス,部長,16
ガバナンス,小野塚,16
ガバナンス,フェロー,16
ガバナンス,佐藤,16
ガバナンス,武井,16
ガバナンス,竹ケ原,16
ガバナンス,立本,16
アドバイザ,ガバナンス,16
ガバナンス,コンサルティング,16
ガバナンス,松原,16
ガバナンス,御供,16
ガバナンス,森,16
ガバナンス,企画,16
9月,ガバナンス,16
ガバナンス,正林,16
ガバナンス,パブリックコメント,16
ガバナンス,決定,16
1月,ガバナンス,16
ガバナンス,改訂版,16
オムロン,取組,16
参考資料,教授,16
参考資料,菊地,16
コーポレートガバナンス・コード,価値,16
The Startup,ガイダンス,16
コラム,バック,16
キャスト,コラム,16
コラム,財務,16
コラム,要素,16
Transition,開示,16
ALLIANCE,戦略,16
ALLIANCE,開示,16
組織,開示,16
分析,参考資料,16
−3,参考資料,16
AND,戦略,16
本文,経営,16
トランスフォーメーション,投資,15
アクティブ運用,活用,15
活用,近年,15
ジャパン・パッシング,戦略,15
問題,戦略,15
意識,戦略,15
ロジック,戦略,15
コンサルティング会社,戦略,15
利用,開示,15
検討,開示,15
競争力,開示,15
ガバナンス,略称,15
3月,ガバナンス,15
RO,ガバナンス,15
IC,ガバナンス,15
ガバナンス,紐,15
ガバナンス,流れ,15
ガバナンス,強み,15
ガバナンス,社内,15
ガバナンス,競争力,15
ガイドライン,将来,15
ガイドライン,体制,15
ガイドライン,行動,15
Ver,期待,15
2.0,創造,15
2.0,説明,15
ロジック,企業,15
企業,定性的,15
パッシブ運用,企業,15
意識,投資家,15
投資家,提供,15
投資家,競争力,15
有効,金融機関,15
問題,金融機関,15
実装,金融機関,15
横断,金融機関,15
外部,金融機関,15
KPI,金融機関,15
連携,金融機関,15
オーナー,金融機関,15
VC,金融機関,15
競争力,金融機関,15
因果,対話,15
パス,対話,15
将来,発信,15
分析,将来,15
実現,将来,15
企業価値,整備,15
体制,創造,15
想定,構築,15
役割,想定,15
利用,役割,15
整備,期待,15
提供,期待,15
期待,能力,15
外部,期待,15
KPI,期待,15
期待,知的財産,15
ストーリー,課題,15
ビジネスモデル,課題,15
事業価値,構築,15
実装,構築,15
意識,構築,15
サステナビリティ,構築,15
価値,視点,15
オーナー,視点,15
マネージャー,視点,15
ジャパン・パッシング,役割,15
コミュニケーション,創,15
企図,変革,15
変革,運用,15
サステナビリティ,変革,15
事業価値,役割,15
提供,経営,15
実行,経営,15
RO,役割,15
IC,役割,15
役割,紐,15
アセット,発信,15
強み,説明,15
説明,運用,15
全社,整備,15
体制,体制,15
ビジネスモデル,流れ,15
図表,自社,15
ビジネスモデル,競争,15
ビジネスモデル,優位,15
強み,役割,15
役割,成長,15
The Startup,実践,15
価値,能力,15
価値,定性的,15
価値,運用,15
事例,外部,15
図表,実行,15
クオンツ,役割,15
役割,源泉,15
オーナー,マネージャー,15
アナリスト,クオンツ,15
図表,重要,15
不可欠,無形資産,15
不可欠,知財,15
企業,米,15
アクション,企業,15
ガイドライン,資金,15
企業,更,15
投資家,資金,15
思考,理解,15
Is,無形資産,15
To,姿,15
取組,実現,15
価格,値下げ,15
企業,決定,15
創造,評価,15
取組,理解,15
評価,説明,15
理解,評価,15
バック,将来,15
キャスト,将来,15
姿,把握,15
環境,社会,15
明確,知財,15
無形資産,軸,15
知財,経済,15
無形資産,統合報告書,15
FRAMeWORK,ポートフォリオ,15
特許,開示,15
対話,必要,15
企業,顕在化,15
他社,自社,15
向上,指標,15
投資,関係性,15
無形資産,責任,15
セル,企業,15
The Startup,支援,15
6月,知財,15
企業,可能,15
ブランド,無形資産,15
ポートフォリオ,知的財産,15
取組,構築,15
原則,開示,15
改訂,改訂,15
具体,投資,15
SX,伊藤,15
SX,レポート,15
ガイダンス,経営,15
投資家,組織,15
投資家,持続,15
投資家,機会,15
市場,構築,15
機会,気候変動,15
可視化,開示,15
戦略,指針,15
提示,期待,15
取組,思考,15
人材,自社,15
社会,社会,15
社会,長期,15
向上,社会,15
報告書,開示,15
ガバナンス,観点,15
改訂,検討会,15
ガイドライン,東京証券取引所,15
出典,統合報告書,15
基,検討会,15
公表,基,15
プレゼン,企業,15
企業,特許庁,15
ガイドライン,通り,15
公表,統合報告書,15
公表,公表,15
観点,資本,15
今後,取組,15
提案,活用,15
オープン,投資,15
クローズ,投資,15
全体像,図表,15
基盤,知財,15
基盤,投資,15
The Startup,資金調達,15
セル,活用,15
企業,森,15
出典,金融機関,15
森,活用,15
内容,役割,15
ブランド,投資,15
活用,顧客,15
事業,課題,15
業種,活用,15
対応,構築,15
企業価値,出典,15
知財,研究所,15
ビジネスモデル,作成,15
活用,米,15
コスト,投資,15
投資,設備投資,15
事業,目的,15
The Startup,技術,15
機会,評価,15
Transition,情報,15
ファイナンス,戦略,15
図表,市場,15
活用,融資,15
財務,財務,15
無形資産,表明,15
サイド,分析,15
運用,運用,15
出典,創造,15
ポートフォリオ,因果,15
パス,ポートフォリオ,15
改革,知財,15
必要,新規,15
成長,特定,15
投資,軸,15
収益性,構築,15
収益性,必要,15
無形資産,需要,15
ビジネスモデル,事務局,15
ポートフォリオ,味の素,15
アウトカム,提示,15
向上,因果,15
パス,向上,15
分析,提示,15
情報,研究会,15
戦略,財務,15
事業部門,部門,15
企業価値,可視化,15
展開,戦略,15
監督,開示,15
REV,企業,15
京セラ,投資,15
REV,価値,15
価値,技術,15
ランドスケープ,取組,15
ブリヂストン,旭化成,15
ブランド,価値,15
基,戦略,15
投資,本田技研工業,15
企業,組織,15
大企業,連携,15
KDDI,知財,15
川名,知財,15
出典,技術,15
OCTOPUS,活用,15
OCTOPUS,価値,15
OCTOPUS,開示,15
モザイク,活用,15
評価,資料,15
知財,金融,15
実効,経営,15
協会,投資,15
投資,発掘,15
アジェンダ,投資,15
コンサルティング,企業,15
コンサルティング,無形資産,15
活用,荒木,15
戦略,江良,15
三瓶,戦略,15
中村,戦略,15
戦略,松島,15
戦略,株式,15
江良,菊地,15
江良,説明,15
投資家,江良,15
教授,菊地,15
図表,教授,15
三瓶,菊地,15
杉光,菊地,15
中村,菊地,15
松島,菊地,15
菊地,開催,15
今後,菊地,15
株式,菊地,15
三瓶,説明,15
杉光,説明,15
投資家,杉光,15
中村,説明,15
松島,説明,15
投資家,松島,15
株式,説明,15
プレゼンテーション,構築,15
参考資料,改訂,15
投資家,株式,15
参考資料,役割,15
−1,参考資料,15
オムロン,創,15
創,参考資料,15
2.0,情報,15
コラム,業種,15
コラム,食品,15
コラム,日用品,15
エンジニアリング業,コラム,15
コラム,姿,15
コラム,新規,15
コラム,事業領域,15
コラム,未来,15
コラム,マネジメント,15
コラム,一貫,15
コラム,帝人,15
キッコーマン,コラム,15
コラム,京セラ,15
キーエンス,コラム,15
コラム,起点,15
SAP,コラム,15
コラム,リコー,15
コラム,デンソー,15
コラム,日立グループ,15
コラム,仕事内容,15
コラム,設置,15
CTO,コラム,15
コラム,中核,15
コラム,監督,15
コラム,ナブテスコ,15
コラム,セイコーエプソン,15
コラム,事業部門,15
コラム,実効,15
コラム,部員,15
コラム,顧客,15
コラム,融資,15
きらぼし銀行,コラム,15
コラム,大規模,15
コラム,資金調達,15
Spiber,コラム,15
コラム,互い,15
コラム,持続,15
コラム,目的,15
コラム,枠組み,15
CTO,投資,15
中小,投資,15
REV,戦略,15
IP,投資家,15
ランドスケープ,投資家,15
オムロン,提示,15
−2,参考資料,15
本文,開示,15
Equipment,Health,15
Care,Equipment,15
加工,参考資料,15
中期経営計画,事例,15
コミュニケーション,事業部,15
投資,持続的,14
投資,有効活用,14
持続的,活用,14
活用,経営資源,14
双方向,活用,14
活用,背景,14
トランスフォーメーション,活用,14
中長期的,戦略,14
戦略,欠如,14
戦略,経営資源,14
戦略,機関,14
意識,開示,14
定量,開示,14
Executive,ガバナンス,14
Summary,ガバナンス,14
ガバナンス,顕在,14
ガバナンス,提供,14
ガバナンス,源泉,14
ガイドライン,略称,14
3月,ガイドライン,14
ガイドライン,利用,14
ガイドライン,把握,14
ガイドライン,人材育成,14
ガイドライン,運用,14
企業,略称,14
3月,企業,14
企業,決定力,14
企業,持続的,14
企業,能力,14
企業,参考,14
企図,投資家,14
強み,投資家,14
外部,投資家,14
セグメント,投資家,14
投資家,資源,14
Executive,金融機関,14
Summary,金融機関,14
スコープ,金融機関,14
磨き,金融機関,14
マネージャー,金融機関,14
ベンチャー,金融機関,14
キャピタル,金融機関,14
対話,将来,14
対話,視点,14
体制,対話,14
アナリスト,対話,14
将来,経営,14
企業価値,運用,14
検討会,経営,14
コラム,検討会,14
Executive,役割,14
Summary,役割,14
期待,資産,14
把握,期待,14
強化,期待,14
単位,期待,14
双方向,期待,14
人材育成,期待,14
パッシブ運用,期待,14
参考,期待,14
期待,競争力,14
スコープ,役割,14
日本,課題,14
現状,発信,14
思考,課題,14
課題,重要,14
ジャパン・パッシング,構築,14
問題,構築,14
構築,顕在,14
RO,構築,14
IC,構築,14
構築,紐,14
検討,構築,14
外部,構築,14
ベンチャー,構築,14
キャピタル,構築,14
VC,構築,14
中長期的,役割,14
役割,欠如,14
問題,役割,14
創,思考,14
ギャップ,説明,14
分析,変革,14
クオンツ,変革,14
変革,重要,14
ストーリー,指標,14
ストーリー,自社,14
役割,磨き,14
因果,指標,14
パス,指標,14
実装,役割,14
整備,経営,14
分析,経営,14
社内,経営,14
発信,自社,14
The Startup,発信,14
多様,発信,14
発信,行動,14
実現,発信,14
役割,意識,14
役割,重視,14
成長,資産,14
事例,資産,14
価値,全社,14
役割,横断,14
The Startup,体制,14
ビジネスモデル,強化,14
成長,競争力,14
強化,維持,14
アナリスト,価値,14
SX,価値,14
価値,資源,14
創,知的財産,14
supply chain,事例,14
図表,連携,14
役割,知的財産,14
アセット,アナリスト,14
マネージャー,運用,14
図表,調査,14
企業,日本企業,14
大胆,投資,14
エンゲージメント,金融機関,14
ガイドライン,向上,14
投資,更,14
理解,資本,14
原則,無形資産,14
As,姿,14
活用,積極,14
環境,重要,14
創出,創造,14
キャスト,バック,14
戦略,環境,14
価値,定量的,14
充実,戦略,14
人材,投資,14
経営,資料,14
企業,存在,14
内容,投資家,14
情報,研究開発,14
無形資産,顕在化,14
活用,顕在化,14
金融機関,顕在化,14
明らか,活用,14
コーポレート,知財,14
レベル,投資,14
企業,明らか,14
資本,重要,14
投資家,認識,14
企業価値,環境,14
評価,貢献,14
企業,投資判断,14
ポイント,戦略,14
企業,支援者,14
ビジネスモデル,可能,14
取組,改訂,14
取組,実行,14
取組,発信,14
公表,情報,14
サステナビリティ,情報,14
公表,検討会,14
企業,具体,14
企業,実施,14
コーポレートガバナンス・コード,研究会,14
改訂,調査,14
知財,記載,14
具体,活用,14
戦略的,投資家,14
ガイダンス,サステナビリティ,14
ガイダンス,ガイダンス,14
サステナビリティ,基準,14
創造,向上,14
向上,研究会,14
研究会,経営,14
投資,経済産業省,14
事務局,図表,14
基,資料,14
事務局,高野,14
事務局,特許庁,14
12%,公表,14
価値,公表,14
公表,説明,14
研究開発,説明,14
ストーリー,情報,14
企業,個別,14
設定,開示,14
企業,共有,14
対話,改訂,14
創,情報開示,14
投資,枠組み,14
ガイダンス,改訂,14
価値,機能,14
価値,全体像,14
企業,全体像,14
全体像,投資家,14
姿,開示,14
事業戦略,戦略,14
事業戦略,経営戦略,14
必要,自社,14
活用,資金調達,14
森,無形資産,14
変革,理解,14
DX,活用,14
実施,投資,14
方針,無形資産,14
事業戦略,無形資産,14
ミッション,知財,14
企業,機会,14
事業,対応,14
企業,新規,14
技術,環境,14
技術,開示,14
ファイナンス,企業,14
ESG,技術,14
ESG,知財,14
企業,関連,14
将来,情報,14
活用,特許情報,14
日本,領域,14
Transition,投資家,14
ルール,活用,14
ルール,投資家,14
前述,無形資産,14
創出,戦略,14
企業,融資,14
事業,融資,14
利益率,投資,14
タイムラグ,企業,14
基,投資家,14
将来,技術,14
企業,質問,14
価値,目的,14
旭化成,開催,14
ポートフォリオ,必要,14
低迷,成長,14
委員,成長,14
成長,資料,14
成長,未来,14
差別化,成長,14
効率,投資,14
成熟,資本,14
優先,無形資産,14
主力,無形資産,14
成熟,無形資産,14
ポートフォリオ,市場,14
旧来,無形資産,14
無形資産,見直し,14
知財,見直し,14
事例,特定,14
事例,最終的,14
事例,軸,14
企業,荏原製作所,14
丸井グループ,実現,14
実現,実現,14
未来,活用,14
マネジメント,活用,14
味の素,変革,14
企業,説得力,14
価値,説得力,14
投資家,説得力,14
KONICA MINOLTA,企業,14
KONICA MINOLTA,投資家,14
アウトプット,因果,14
アウトプット,パス,14
パス,出典,14
事例,取り組み,14
出典,変革,14
ROIC,図表,14
ツリー,図表,14
オムロン,観点,14
ROIC,人的,14
ツリー,人的,14
価値,戦略的,14
ルール,開示,14
事業,発信,14
REV,投資家,14
IP,自社,14
IP,強み,14
ランドスケープ,自社,14
事業,組織,14
ブリヂストン,価値,14
価値観,投資,14
The Startup,機能,14
機能,経営,14
The Startup,資本,14
事業,大企業,14
ALLIANCE,投資家,14
SAP,企業,14
変革,評価,14
ビジネスモデル,評価,14
事務局,取組,14
戦略,荏原製作所,14
徳永,知財,14
戦略,東京海上ホールディングス,14
モザイク,開示,14
取組,部門,14
オムロン,全社,14
中心,知財,14
事業部門,活用,14
活用,部長,14
事業部,知財,14
中村,検討会,14
中村,事例,14
役割,旭化成,14
個別,投資,14
今後,改訂,14
変革,研究開発,14
コニカミノルタ,知財,14
サイエンス,知財,14
提出,知財,14
アスタミューゼ,知財,14
永井氏,知財,14
商標,知財,14
澤嶋,知財,14
ソニーグループ,戦略,14
−1,ガバナンス,14
説明,部門,14
オムロン,旭化成,14
オムロン,事務局,14
The Startup,オムロン,14
プレゼンテーション,旭化成,14
アセットマネジメント,事務局,14
アセットマネジメント,説明,14
参考資料,開催,14
参考資料,構築,14
参考資料,対話,14
丸井グループ,参考資料,14
コーポレートガバナンス・コード,創,14
創,成果,14
FRAMeWORK,ガイダンス,14
全体像,戦略,14
仕事内容,投資,14
大規模,投資,14
Spiber,投資,14
KONICA MINOLTA,戦略,14
ROIC,情報,14
参考資料,評価,14
ROIC,ガバナンス,14
ガバナンス,ツリー,14
FRAMeWORK,旭化成,14
−3,開示,14
参考資料,因果,14
−4,本文,14
コラム,本文,14
−4,参考資料,14
提供,本文,14
AND,Technology,14
AND,Transition,14
AND,Economy,14
無形資産,相関,14
−4,事例,14
パートナーシップ,投資,13
投資,資料集,13
supply chain,活用,13
戦略,略称,13
3月,戦略,13
スコープ,戦略,13
戦略,磨き,13
企図,戦略,13
実装,戦略,13
戦略,重視,13
戦略,説得,13
外部,戦略,13
オーナー,戦略,13
マネージャー,戦略,13
VC,戦略,13
企図,開示,13
SX,開示,13
ガバナンス,価格,13
ガバナンス,把握,13
ガバナンス,間接金融,13
ガバナンス,機関,13
ガイドライン,スコープ,13
ガイドライン,源泉,13
Ver,役割,13
2.0,企業価値,13
2.0,The Startup,13
ゲームチェンジ,企業,13
企業,有効活用,13
企業,社内,13
アクティブ運用,企業,13
トランスフォーメーション,企業,13
中長期的,投資家,13
事業価値,投資家,13
価格,投資家,13
強化,投資家,13
単位,投資家,13
提供,金融機関,13
人材育成,金融機関,13
運用,金融機関,13
知的財産,金融機関,13
対話,検討会,13
対話,現状,13
ギャップ,対話,13
双方向,対話,13
対話,運用,13
将来,現状,13
将来,重要,13
企業価値,検討会,13
企業価値,日本,13
ギャップ,企業価値,13
企業価値,横断,13
KPI,企業価値,13
今後,企業価値,13
創造,課題,13
FRAMeWORK,創造,13
サステナビリティ,創造,13
有効,期待,13
有効,構築,13
検討会,課題,13
価値,検討会,13
利用,多様,13
価格,期待,13
ロジック,期待,13
期待,説得,13
期待,競争,13
優位,期待,13
定性的,期待,13
セグメント,期待,13
期待,連携,13
アクティブ運用,期待,13
変化,期待,13
SX,期待,13
期待,資源,13
ビジネスモデル,現状,13
構造,課題,13
ギャップ,課題,13
図表,課題,13
中長期的,構築,13
構築,欠如,13
構築,磨き,13
構築,重視,13
構築,能力,13
変化,構築,13
構築,資源,13
実践,視点,13
視点,運用,13
コミュニケーション,思考,13
FRAMeWORK,因果,13
FRAMeWORK,発信,13
FRAMeWORK,The Startup,13
FRAMeWORK,実践,13
変革,指標,13
変革,強み,13
パス,分析,13
価格,経営,13
サステナビリティ,経営,13
RO,指標,13
IC,指標,13
定量,指標,13
IC,RO,13
実行,発信,13
ビジネスモデル,価格,13
全社,説明,13
KPI,説明,13
行動,説明,13
サステナビリティ,説明,13
The Startup,全社,13
全社,知的財産,13
体制,創,13
検討,自社,13
分析,強み,13
成長,競争,13
検討,重要,13
The Startup,実行,13
The Startup,キャピタル,13
supply chain,価値,13
KPI,価値,13
クオンツ,価値,13
創,実行,13
社内,連携,13
クオンツ,図表,13
大胆,無形資産,13
向上,日本企業,13
戦略,日本企業,13
金融市場,開示,13
向上,必要,13
エンゲージメント,活用,13
コミュニケーション,取組,13
コミュニケーション,提示,13
更,知財,13
活用,獲得,13
構造,理解,13
獲得,資金,13
原則,投資,13
As,投資,13
To,将来,13
Be,姿,13
As,現状,13
価格,価格,13
価格,安易,13
無形資産,積極,13
変革,成果,13
対象,活用,13
創出,開示,13
Sustainable,知財,13
Sustainable,無形資産,13
バック,企業,13
キャスト,企業,13
知財,軸,13
具体的,知財,13
具体的,無形資産,13
価値,具体的,13
無形資産,経済,13
創造,社会,13
コーポレート・ガバナンス報告書,投資,13
コーポレート・ガバナンス報告書,活用,13
戦略,機会,13
発信,資料,13
価値,特許,13
創,研究開発,13
存在,投資,13
As,事業,13
ポートフォリオ,期待,13
To,事業,13
ポートフォリオ,姿,13
バック,変革,13
キャスト,変革,13
変革,姿,13
将来,資本,13
ビジネスモデル,接続,13
図表,金融市場,13
期待,金融市場,13
役割,金融市場,13
プレイヤー,知財,13
投資,責任,13
主,知財,13
本章,知財,13
実効,活用,13
知財,策定,13
必要,経営,13
ビジネスモデル,持続,13
持続,構築,13
仕組み,企業,13
向上,重要,13
バリュー・チェーン,知財,13
無形資産,経営戦略,13
事業,重要性,13
情報,適切,13
確保,開示,13
ガイドライン,整理,13
実施,無形資産,13
公表,図表,13
図表,情報開示,13
ガバナンス,東京証券取引所,13
報告,投資,13
報告,活用,13
公表,調査,13
改訂,金融機関,13
企業,取り組み,13
レポート,企業,13
サステナビリティ,事業,13
投資家,気候変動,13
サステナビリティ,対応,13
人材,企業,13
企業,在り方,13
2.0,対応,13
公表,前後,13
取組,対応,13
持続可能性,社会,13
Sustainable,社会,13
企業,報告書,13
価値,持続可能性,13
向上,長期,13
目的,開示,13
ガバナンス,各社,13
図表,資料,13
図表,比較,13
出典,報告,13
公表,出典,13
プレゼン,事務局,13
国際,知財,13
検討会,研究会,13
研究会,資料,13
公表,菊地,13
企業,高野,13
公表,観点,13
取組,知的財産,13
ページ,知財,13
企業,作成,13
投資家,指針,13
ガイダンス,ストーリー,13
2.0,改訂,13
知財,趣旨,13
オープン,活用,13
クローズ,活用,13
無形資産,確保,13
効果,無形資産,13
活用,自ら,13
The Startup,必要,13
対話,理解,13
プレゼン,活用,13
知財,自ら,13
投資,推奨,13
構築,理解,13
統合,資本,13
創造,持続,13
エンジニアリング業,活用,13
−2,出典,13
−3,活用,13
活用,赤字,13
利益率,無形資産,13
The Startup,社会,13
エネルギー,技術,13
分析,特許,13
価値,環境,13
ポートフォリオ,取組,13
EU,活用,13
帰結,活用,13
低下,投資,13
活用,起点,13
収益性,向上,13
ROIC,向上,13
ツリー,投資家,13
接続,現在,13
セル,分析,13
FRAMeWORK,出典,13
知財,設備投資,13
サイド,情報,13
会社,投資家,13
図表,成果,13
イノベーション,事例,13
市場,旭化成,13
事業,情報開示,13
向上,新規,13
価値,新規,13
姿,成長,13
バック,成長,13
キャスト,成長,13
成長,荏原製作所,13
帝人,成長,13
マイナス,投資,13
収益,資本,13
企図,資本,13
収益性,因果,13
パス,収益性,13
ROIC,構築,13
実現,市場,13
知財,需要,13
収益,変革,13
ポートフォリオ,資料,13
ポートフォリオ,一貫,13
因果,委員,13
委員,経営,13
因果,資料,13
丸井グループ,事務局,13
事務局,価値,13
事例,前述,13
プロセス,事例,13
事例,利益率,13
事業領域,活用,13
提示,荏原製作所,13
KONICA MINOLTA,提示,13
ROIC,提示,13
投資家,荏原製作所,13
一貫,活用,13
企業,味の素,13
KONICA MINOLTA,価値,13
組織,説明,13
アウトカム,アウトプット,13
アウトプット,ガバナンス,13
アウトプット,事業,13
強み,情報,13
事業,利益,13
対話,部門,13
部門,重要,13
イメージ,戦略,13
ROIC,観点,13
KPI,ROIC,13
価値,展開,13
創出,構築,13
全社,取組,13
戦略,起点,13
会計,投資,13
教授,金融機関,13
横断,部門,13
ビジネスモデル,報告,13
価値観,活用,13
標準,活用,13
戦略,標準,13
ガイダンス,対応,13
FRAMeWORK,資料,13
戦略,本田技研工業,13
事業,能力,13
大企業,自社,13
取組,大企業,13
変革,組織,13
The Startup,観点,13
技術,研究開発,13
The Startup,理解,13
1月,企業,13
定量的,活用,13
企業,東京海上ホールディングス,13
中小,活用,13
企業,最終,13
ポートフォリオ,企業価値,13
オムロン,実践,13
情報,顧客,13
ポートフォリオ,体制,13
事業,体制,13
全社,組織,13
事業部門,戦略,13
IP,変革,13
ランドスケープ,変革,13
コミュニケーション,実効,13
活用,部員,13
ソニーグループ,企業,13
体制,旭化成,13
対話,財務,13
知財,金融庁,13
アセット,短期,13
協会,知財,13
知財,第9,13
ソリューション,事業,13
三井住友トラスト・ホールディングス,企業,13
事例,資金,13
実践,提示,13
座長,知財,13
加賀谷,知財,13
インテリジェンス,知財,13
日揮,知財,13
瀬下,知財,13
桜井,知財,13
木村氏,知財,13
活用,竹ケ原,13
御供,活用,13
ガバナンス,ソニーグループ,13
ガバナンス,味の素,13
ガバナンス,荏原製作所,13
ガバナンス,東京海上ホールディングス,13
ガバナンス,三井住友トラスト・ホールディングス,13
三瓶,検討会,13
無形資産,荒木,13
ブリヂストン,説明,13
ブリヂストン,図表,13
オムロン,研究会,13
オムロン,役割,13
DX,事務局,13
コミュニケーション,参考資料,13
無形資産,竹ケ原,13
インテリジェンス,プレゼンテーション,13
御供,無形資産,13
取組,開催,13
丸井グループ,説明,13
大企業,説明,13
丸井グループ,図表,13
The Startup,参考資料,13
企業価値,参考資料,13
SAP,投資,13
リコー,投資,13
デンソー,投資,13
投資,日立グループ,13
ナブテスコ,投資,13
セイコーエプソン,投資,13
従業員,投資,13
センチメント,投資,13
エナジー,投資,13
きらぼし銀行,投資,13
互い,投資,13
−2,戦略,13
情報,指針,13
ブリヂストン,情報,13
IP,コミュニケーション,13
コミュニケーション,ランドスケープ,13
ブリヂストン,事業,13
−2,開示,13
創造,参考資料,13
価値,本文,13
事務局,本文,13
ポートフォリオ,本文,13
−3,事務局,13
パートナーシップ,活用,12
有効活用,活用,12
パッシブ運用,活用,12
活用,資料集,12
利用,戦略,12
事業価値,戦略,12
定量,戦略,12
媒体,戦略,12
戦略,間接金融,12
ベンチャー,戦略,12
キャピタル,戦略,12
3月,開示,12
Executive,開示,12
Summary,開示,12
想定,開示,12
横断,開示,12
競争,開示,12
ガバナンス,意識,12
ガバナンス,定性的,12
ガバナンス,セグメント,12
ガバナンス,単位,12
ガバナンス,資源,12
ガイドライン,変化,12
2.0,Ver,12
2.0,ストーリー,12
企業,説得,12
パートナーシップ,企業,12
企業,近年,12
投資家,欠如,12
投資家,横断,12
定性的,投資家,12
パッシブ運用,投資家,12
投資家,機関,12
コンサルティング会社,投資家,12
投資家,源泉,12
ロジック,金融機関,12
強化,金融機関,12
対話,日本,12
対話,指標,12
対話,自社,12
多様,対話,12
アセット,対話,12
将来,課題,12
図表,将来,12
オーナー,企業価値,12
企業価値,知的財産,12
創造,連携,12
有効,説明,12
図表,検討会,12
利用,構築,12
期待,費用,12
持続的,期待,12
期待,維持,12
期待,経営資源,12
定量,期待,12
期待,社内,12
期待,背景,12
トランスフォーメーション,期待,12
スコープ,構築,12
図表,日本,12
変革,現状,12
現状,経営,12
価値,現状,12
The Startup,課題,12
実行,課題,12
社内,課題,12
オーナー,課題,12
価格,構築,12
構築,資産,12
ロジック,構築,12
構築,説得,12
構築,経営資源,12
人材育成,構築,12
オーナー,構築,12
マネージャー,構築,12
クオンツ,構築,12
構築,間接金融,12
構築,機関,12
専門,構築,12
コンサルティング会社,構築,12
視点,重要,12
思考,経営,12
FRAMeWORK,ストーリー,12
FRAMeWORK,実現,12
価格,変革,12
変革,提供,12
変革,行動,12
事業価値,成長,12
事例,事業価値,12
ビジネスモデル,企図,12
企図,実現,12
実装,成長,12
事例,実装,12
経営,行動,12
経営,運用,12
アナリスト,経営,12
変化,経営,12
指標,紐,12
指標,自社,12
RO,紐,12
IC,紐,12
全社,発信,12
流れ,発信,12
分析,発信,12
